studio,domestic_gross,foreign_gross,year
Rel.,223000,0,2015
Rela.,74055000,35000000,2015
Rialto,678900,0,2015
RTWC,16213900,3600000,2015
SD,498000,0,2015
SGem,121500000,18500000,2015
SHO,426000,0,2015
SM,230000,0,2015
Sony,730011000,1483200000,2015
SPC,56057000,152907000,2015
Strand,382200,0,2015
STX,64000000,29900000,2015
TA,49700,0,2015
TAFC,4600,0,2015
TFA,124299,25600000,2015
Trib.,14800,0,2015
TriS,104700000,65500000,2015
U/P,3500000,2800000,2015
UEP,92700,0,2015
UHE,1700000,3200000,2015
Uni.,2429738000,2029049002,2015
UTV,8747000,0,2015
VE,68400,0,2015
W/Dim.,76300000,191800000,2015
WB,812600000,1149600000,2015
"WB (NL)",381300000,465900000,2015
Wein.,194837099,280800000,2015
WGUSA,6148900,664500000,2015
Yash,2379000,0,2015
Zeit.,22900,0,2015
A24,76431700,55862200,2016
Abr.,2900000,9400000,2016
Ampl.,1200000,0,2016
AR,350000,57700000,2016
BBC,7500,0,2016
BG,37133500,0,2016
"BH Tilt",15600000,1500000,2016
BST,34999999,16900000,2016
BV,2871000000,4393300000,2016
BWP,108000,0,2016
CineGalaxy,3900000,0,2016
CJ,2892600,51000000,2016
CL,2770700,433100000,2016
Cleopatra,82700,0,2016
Cohen,1292900,0,2016
Crnth,13800,0,2016
CZ,123100,0,2016
Distrib.,57300,0,2016
Dreamwest,57800,0,2016
Drft.,4113200,4600000,2016
EC,30100000,49900000,2016
Electric,27100,0,2016
Elev.,257000,47600000,2016
EOne,1465100,99500000,2016
EpicPics,11300,0,2016
Eros,5170400,0,2016
Fathom,3800000,0,2016
FCW,632600,0,2016
FIP,10720000,102600000,2016
FM,284000,7900000,2016
Focus,193800000,250400000,2016
Fox,1441899999,2622833000,2016
FoxS,22800000,38600000,2016
FR,626800,385300000,2016
FRun,78600,9100,2016
FUN,2391000,76000000,2016
Gaatri,898000,0,2016
Gathr,629000,0,2016
Ghop,147200,0,2016
GK,1005400,0,2016
Grav.,52500,0,2016
HTR,50300,14800000,2016
Icar.,105000,0,2016
IFC,9527300,23900000,2016
Imax,15500000,9400000,2016
Jampa,26700,0,2016
JBG,467000,47700000,2016
KL,945000,0,2016
LG/S,418899999,1017900000,2016
LGF,371444000,305645000,2016
LGP,0,22400000,2016
Linn,35800,0,2016
Magn.,5905500,0,2016
